t,x,y,theta,loop_closure
102.338,2.847021443225774e-05,2.380314709709491e-05,0.0010050231338915,0
102.348,0.0018321289463328258,-0.0002419873203254922,-0.00021185552522368849,0
102.358,0.000185267633087374,-0.00013275230828730246,-0.008588357810707036,0
102.368,0.0017070871308055057,-0.0009955470072790715,-0.011912829142191253,0
102.379,0.0016154760610289642,-0.002975759912477959,-0.021395116344988366,0
102.388,-0.0005825959683458544,-0.002991308040926245,-0.014242985756170449,0
102.398,-0.0003513727295997235,-0.0026795663606967593,-0.012378699689522779,0
102.408,-0.0011417970846950808,-0.003052461990662313,-0.014750582241261608,0
102.418,-0.00023913745744559372,-0.003508265581326536,-0.014503635937998992,0
102.428,-0.0037527322450704526,-0.0005085829814602482,-0.014450885573319616,0
102.438,-0.0013904302705255536,0.0017185873954789167,-0.008323716723061415,0
102.448,-0.0017972705855091523,0.001293820360514365,0.0015756403733578443,0
102.458,-0.00022245486690581793,0.004323719133566729,0.011243707742716675,0
102.468,-4.273873906131666e-05,0.003817137687314247,0.008340906649911956,0
102.478,0.002528475220920861,0.003921678365841587,0.0033920183713005043,0
102.488,0.004433960649631255,0.003935309833394146,-0.00735836150231311,0
102.498,0.0026321448044533593,0.0038710910363864404,-0.00636326270805187,0
102.508,0.00242804554556159,0.004499278104496047,-0.005313041804051483,0
102.518,0.00217807307091567,0.006021748178644468,-0.004684860330208982,0
102.528,0.0008548823189911707,0.006432586095296137,-0.0029378240443443853,0
102.538,0.0023874008788553787,0.004622495160485475,-0.014520620669422567,0
102.548,0.0026757948275061526,0.0024137284755656185,-0.005812261944933714,0
102.558,0.0034296920841037793,0.0043363269833769785,-0.016244113952466062,0
102.568,0.0018170671391237808,0.0001559745876835465,0.003200532033452271,0
102.578,0.001572825508642433,0.002777368894605952,0.002612227065733134,0
102.588,0.001968556756221503,0.0013395936426385212,-0.004837482356991023,0
102.598,0.003811416874648006,0.0050362677267077,-0.006341941818378617,0
102.608,0.004000280307359228,0.004006522611492146,-0.013988462833846468,0
102.618,0.0037897251361802362,0.0034088768127459963,-0.029259475098639673,0
102.628,0.006131901032993506,0.0018366908051542575,-0.04765824745224384,0
102.638,0.00717082908048859,0.0033527347472620383,-0.04770627963325921,0
102.648,0.006193980508155186,0.004899598322351159,-0.04171512068472529,0
102.658,0.005303756418735974,0.005771091252883938,-0.037296807055996174,0
102.668,0.007573596550871776,0.004650839081886805,-0.045742637380652644,0
102.678,0.00961219253717531,0.006878142841224674,-0.0410502459773661,0
102.688,0.009008503042647775,0.005903759069722987,-0.04439547710386112,0
102.698,0.010692044615730756,0.0060272547819145116,-0.04267799199944908,0
102.708,0.009797583544551826,0.00587354348725842,-0.0330305283547524,0
102.718,0.010171497213551253,0.009944771803643417,-0.022988318888109028,0
102.728,0.00545848458538063,0.009682428929641652,-0.020642367500806866,0
102.738,0.005810109800496488,0.009224882762325953,-0.008783762991970593,0
102.748,0.006484129474137572,0.008977370648811938,-0.007353228389388585,0
102.758,0.004151678400337959,0.010866513212724294,-0.011398793413876583,0
102.768,0.0018903574977806054,0.00985160478063137,-0.008533200967143164,0
102.778,0.0030684026627818047,0.009868245891684908,-0.015080276202741345,0
102.788,0.0008269817776220796,0.010000023103230636,-0.019043243414620565,0
102.798,0.0005016962970126079,0.013034965994250736,-0.021206754704572433,0
102.808,0.0016824870335475834,0.00898724937612587,-0.022105467288343332,0
102.818,0.002583319294005293,0.011802434656827374,-0.010211211312296678,0
102.828,0.0017529861201253652,0.010862191149151304,-0.02300279632961201,0
102.838,0.0008529141030397531,0.011663434054277218,-0.0278163958005234,0
102.848,-0.0022344952801268223,0.009327726061963651,-0.015995478257892187,0
102.858,-0.0020250478873143213,0.0071711687820835805,-0.008008642715674226,0
102.868,-0.002488570523867152,0.008350054251741961,-0.011393794352983669,0
102.878,-0.003284237369051761,0.00927250175532367,-0.013800864128721304,0
102.888,-0.003895519665406052,0.009877630098900516,-0.020637216800958303,0
102.898,-0.005703265098809214,0.00941264401383281,-0.02953794566439807,0
102.908,-0.004036647134091746,0.00632033129414648,-0.029510944243785694,0
102.918,-0.004624342230017066,0.006041159725484526,-0.034311991334484024,0
102.928,-0.0023653331338868424,0.00528784600569204,-0.03146449072863533,0
102.938,-0.0022905992369251847,0.005450582147588723,-0.03237619881773679,0
102.948,-0.0010516566729380553,0.005216881776435134,-0.026027810592173403,0
102.958,-0.0005143911690920603,0.0021704628772362313,-0.030928497140965662,0
102.968,-0.0007186319416470983,-0.0003200499287644644,-0.024222038622664796,0
102.978,-0.0016905940550919392,0.00048021819281851173,-0.014955203239371618,0
102.988,-0.00027552839301779315,4.075573506448396e-05,-0.016424677617201636,0
102.998,0.0009213910924766526,0.002737736619357474,-0.0013907061904225287,0
103.008,0.0015296134721152605,0.002007818573718134,-0.01178310246371286,0
103.018,0.0004465485432248626,0.0027297737060557464,-0.01839847371647268,0
103.028,0.0008373311784800513,0.004192183645485184,9.992400232198412e-05,0
103.038,-0.0014900681415265858,0.002251512772517854,-0.003709402888370855,0
103.048,-0.003237975868148657,0.0006911723257626385,-0.009244970149407415,0
103.058,-0.003770305211129546,0.0037433484600701244,-0.013501265657281901,0
103.068,-0.0062790035429091985,0.0032283604625594946,-0.015196783077705665,0
103.078,-0.008642774347648012,0.002847917691618208,-0.016064673760953392,0
103.088,-0.006800971551010313,0.0010932958583586053,-0.020605939846543762,0
103.098,-0.007310154855433085,0.0019642474351721983,-0.02995216087381962,0
103.108,-0.010054424730801674,0.0034603779930334417,-0.03454093468498744,0
103.118,-0.009092275012693166,0.004298028860382426,-0.03463764309278323,0
103.128,-0.011007038652276232,0.004202580126230773,-0.020372496750780872,0
103.138,-0.008625629546102777,0.005901516453888874,-0.024230494291078576,0
103.148,-0.008467382906314455,0.0018043305661863606,-0.018941441468726384,0
103.158,-0.010170244224349647,-0.00048553498030046594,-0.02945191877802438,0
103.168,-0.0073325126127597295,0.0016472480121287542,-0.03726800680521904,0
103.178,-0.007805087292329623,-0.0010710179961673648,-0.03782550113976548,0
103.188,-0.00895794077060184,0.0017788832425333205,-0.03389624539202337,0
103.198,-0.008571641773734468,0.0024969826787804216,-0.025350540832038387,0
103.208,-0.010179231286980549,0.006101810819201623,-0.03902556684901091,0
103.218,-0.01170384376726984,0.009354072198369544,-0.05583078310256695,0
