t,range
102.309,0.404816900519912
102.509,0.40341016271555097
102.609,0.39046614224371623
102.709,0.4314630220602707
102.909,0.4306172135031555
103.009,0.4195442300184476
103.209,0.4440161763715934
103.309,0.40521677418386726
103.409,0.40968630514045173
103.509,0.4015601196710528
103.609,0.404456684862591
103.809,0.40970511805975324
103.909,0.39882518507903664
104.109,0.4079814953772326
104.209,0.40404462801877067
104.41,0.4028337178226317
104.509,0.41022578134250715
104.609,0.37869953314668614
104.809,0.3823916752900988
104.909,0.4238333186401406
105.009,0.42500145775000164
105.209,0.428645771425387
105.309,0.3760609599027873
105.409,0.4185165468227062
105.509,0.40748835250249005
105.609,0.40725068223480404
105.709,0.38436402299995787
105.809,0.36288340577008915
105.909,0.33363755933895134
106.009,0.3427444088060887
106.109,0.2861590380530056
106.209,0.2975706778226046
106.41,0.25393076071416554
106.509,0.2308204141965682
106.609,0.2221920249907302
106.809,0.16388321415347457
106.909,0.11975419585276971
107.109,0.11764638676189536
107.209,0.07285400591519282
107.309,0.06273590936483267
107.409,0.030682329036938495
107.509,0.03393876371135121
107.609,0.05710157416254376
107.809,0.050450296823991096
107.909,0.05565959288638443
108.009,0.0495558293611799
108.109,0.06895637536040346
108.209,0.04933628078061621
108.309,0.04831332203170771
108.509,0.048368168621955816
108.609,0.04285495454383004
108.709,0.05875222161693113
108.909,0.037054933875207946
109.009,0.03416258269610749
109.209,0.06582183802048967
109.309,0.041441279735926956
109.409,0.0457364078387371
109.609,0.03350455849915738
109.709,0.05941270500436514
109.809,0.036785576613244865
109.909,0.06540102784315316
110.009,0.06441072056420126
110.209,0.04034958604746071
110.309,0.03678323640502521
110.409,0.07275278340897158
110.609,0.06603607497860033
110.709,0.06996835306132285
110.909,0.10425982457730926
111.009,0.08899628475195165
111.21,0.10087114212132836
111.309,0.12566257678012294
111.409,0.1377804861078719
111.509,0.16070797371279658
111.609,0.17107797525579144
111.809,0.42162790808049233
111.909,0.425547564903666
112.11,0.4301538309222547
112.21,0.4317810451871962
112.31,0.41655159824664273
112.51,0.4282752481845102
112.61,0.413008526343274
112.81,0.4152126915455796
112.91,0.4195782413036173
113.01,0.42961956954801295
113.21,0.41981998545163346
113.31,0.421439385250954
113.41,0.43222035794904934
113.61,0.41812330792185687
113.71,0.4326681064553761
113.91,0.4224900088419907
114.01,0.4305614232838475
114.11,0.42124899775508906
114.31,0.4331322726511192
114.41,0.43199477440275835
114.61,0.39651045423741854
114.71,0.37630712302712965
114.81,0.3990118026605841
114.91,0.36207301669910497
115.01,0.3389154892204416
115.11,0.3510621962660199
115.31,0.3333728216013528
115.41,0.32415815976963314
115.51,0.3174829289111275
115.611,0.32782620624020536
115.81,0.3436138289015284
116.01,0.3174986375472493
116.11,0.33440116037439377
116.21,0.32853467681769144
116.41,0.3599491539055085
116.51,0.3836542297392316
116.711,0.3796885200346978
116.81,0.39410788210277864
116.91,0.38639786967983136
117.11,0.4333854666678044
117.211,0.42914663011940946
117.412,0.4267550020549615
117.511,0.4293412720278868
117.611,0.15602074561015927
117.711,0.17725847311732984
117.811,0.17871183713069705
