t,x,y,theta
33127.521,7.162045819116943e-06,4.304240088108622e-06,0.0002668420782171
33127.531,-0.0015284127139952443,0.0005145535743884883,-0.005582728516790552
33127.541,-0.00185499472615029,0.002680876022784313,0.0057349742043963665
33127.551,-0.003065262738929533,-0.0003314657263986812,0.004329504968867827
33127.561,-0.0017280768929063487,0.0027235069799210762,0.002474903191028449
33127.571,-0.00205844241276105,0.002095428760550418,0.005216510639288293
33127.581,-0.0031496134428507707,0.0026536206458137148,0.004245104752277514
33127.591,-0.0038983426156184242,0.0027571188903469136,0.008039409763864058
33127.601,-0.004187533081951297,0.0007941929028272353,0.0032731855036709457
33127.611,-0.003200775107301713,-0.0017031596731905464,0.006171856252800508
33127.621,-0.003483081840079741,-0.0017791675155380538,-0.002717585329680949
33127.631,-0.002101327973343999,-0.0037118616241620514,0.007280228688447474
33127.641,-0.0021929274258853304,-0.003451875039820012,0.0010022051423744707
33127.651,-0.0034282644869584314,-0.005580601623011765,0.01777742099593431
33127.661,-0.0026964972581927154,-0.006108177244762884,0.016125031088862568
33127.671,0.0002950901604827894,-0.002727352793158101,0.020189912066747417
33127.681,0.001142962779123345,-0.003285042484974957,0.018758741329233233
33127.691,0.0017165780842973931,-0.004628917712278773,0.011722535784979685
33127.701,0.002139164637745356,-0.007913856056216709,0.01670944986271528
33127.711,0.003018622408798829,-0.006960622444235229,0.010402202929468375
33127.721,0.0017252268890235582,-0.004615295713382127,0.03266910384257873
33127.731,0.0007245360005457293,-0.005272834829504852,0.034753062951279196
33127.741,-0.0013129023528618581,-0.009311244403106642,0.02147965510550722
33127.751,-0.00033290142367297065,-0.009466042085774845,0.010321438661929902
33127.761,-5.065863098208741e-05,-0.010171971523808013,0.021467009088509577
33127.771,0.00010653094154274527,-0.010007165726138061,0.023228830375915426
33127.781,0.001957155887651504,-0.009215308332644077,0.02425745661618444
33127.791,-1.9121802699539198e-05,-0.011642306922554134,0.026264430364876634
33127.801,0.0003288652709765148,-0.009269724781869586,0.02807818149725238
33127.811,0.001881075217975052,-0.011382788326055122,0.02992986175660768
33127.821,-0.0003684952426155682,-0.010013273426895244,0.03444898168556435
33127.831,0.0016907975119893142,-0.008081698282795298,0.030432115715695828
33127.841,-0.0009955459624521675,-0.007723935406443374,0.020496868366130773
33127.851,-0.001256361464040675,-0.007263371831585812,0.015413100838406798
33127.861,-0.002851468146538987,-0.006652102137731978,0.02501335945089068
33127.871,-0.002954809638749,-0.009643615829550041,0.01898725752601004
33127.881,-0.00497966930368423,-0.011376915863119,0.022536919347105822
33127.891,-0.00307870021310099,-0.012434203042159222,0.0249425412370783
33127.901,-0.0038420689023210123,-0.01291023754717568,0.03778324348675126
33127.911,-0.0021022850084210167,-0.014904901509479283,0.039130927528806786
33127.921,-0.0008986177880720987,-0.015662696490092942,0.035159898364452546
33127.931,0.0010701875414888754,-0.015638004286665036,0.03016279541560648
33127.941,-0.0015627331174775064,-0.013627335839300005,0.030043056377624396
33127.951,-0.0001021682746601099,-0.008549928859396452,0.02584915946127997
33127.961,0.001292943279919805,-0.007487851055336406,0.017118111747384236
33127.971,-0.0031115662326195916,-0.005299947690621144,0.014899949852823821
33127.981,-0.0010748389241198811,-0.006969366080500203,0.021969666292576875
33127.991,-0.00023183209356409632,-0.009284710001312165,0.022356550456838598
